path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,123,149,174,192,OSBS.03217
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,160,131,197,165,OSBS.00029
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,36,164,69,193,OSBS.03216
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,7,142,44,175,OSBS.03215
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,86,94,156,143,OSBS.03210
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,159,72,196,112,OSBS.03218
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,103,70,148,93,OSBS.03254
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,145,31,191,54,OSBS.03222
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,163,20,195,41,OSBS.03223
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,119,31,142,49,OSBS.03256
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,85,10,128,45,OSBS.03221
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,85,37,112,56,OSBS.03220
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,143,5,187,29,OSBS.03225
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_29_rgb.tif,101,0,129,12,OSBS.03227
