path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,127,0,190,41,OSBS.00004
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,181,22,199,49,OSBS.01854
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,56,8,136,105,OSBS.01840
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,136,43,191,92,OSBS.01853
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,193,54,200,66,OSBS.00005
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,165,66,199,139,OSBS.01855
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,100,92,176,162,OSBS.00157
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,70,106,98,124,OSBS.00193
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,56,116,92,160,OSBS.00191
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,144,144,200,191,OSBS.00006
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,0,131,26,192,OSBS.00190
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_5_rgb.tif,26,151,41,172,OSBS.00188
